id,warehouse_id,category_id,name,code,description,type,brand,manufacturer,model_number,unit_of_measure,product_warranty_years,performance_warranty_years,status,specifications
PROD-010,ORG-001,CAT-004,Premier Solar Panel PERC Non-DCR 530-550Wp,PREMIER-PERC-NONDCR,Premier Non-DCR PERC panel,solar_panel,Premier,Premier Energies,PERC-545-NONDCR,pcs,12,30,active,"{""common"":{""wattage"":540,""cellType"":""PERC"",""efficiency"":21.2},""additional"":{""isDcr"":false,""minWattage"":530,""maxWattage"":550,""technology"":""perc""}}"
PROD-011,ORG-001,CAT-004,Premier Solar Panel TOPCon Non-DCR 600-620Wp,PREMIER-TOPCON-NONDCR,Premier Non-DCR TOPCon panel,solar_panel,Premier,Premier Energies,TOPCON-610-NONDCR,pcs,12,30,active,"{""common"":{""wattage"":610,""cellType"":""TOPCon"",""efficiency"":22.2},""additional"":{""isDcr"":false,""minWattage"":600,""maxWattage"":620,""technology"":""topcon""}}"
PROD-012,ORG-001,CAT-003,Navitas Solar Panel PERC DCR 530-550Wp,NAVITAS-PERC-DCR,Navitas DCR approved PERC technology panel,solar_panel,Navitas,Navitas Solar,PERC-545-DCR,pcs,12,30,active,"{""common"":{""wattage"":540,""cellType"":""PERC"",""efficiency"":21.4},""additional"":{""isDcr"":true,""minWattage"":530,""maxWattage"":550,""technology"":""perc""}}"
PROD-013,ORG-001,CAT-004,Navitas Solar Panel TOPCon Non-DCR 600-620Wp,NAVITAS-TOPCON-NONDCR,Navitas Non-DCR TOPCon panel,solar_panel,Navitas,Navitas Solar,TOPCON-610-NONDCR,pcs,12,30,active,"{""common"":{""wattage"":610,""cellType"":""TOPCon"",""efficiency"":22.4},""additional"":{""isDcr"":false,""minWattage"":600,""maxWattage"":620,""technology"":""topcon""}}"
PROD-014,ORG-001,CAT-003,Vikram Solar Panel PERC DCR 530-550Wp,VIKRAM-PERC-DCR,Vikram DCR approved PERC technology panel,solar_panel,Vikram,Vikram Solar,PERC-545-DCR,pcs,12,30,active,"{""common"":{""wattage"":540,""cellType"":""PERC"",""efficiency"":21.3},""additional"":{""isDcr"":true,""minWattage"":530,""maxWattage"":550,""technology"":""perc""}}"
PROD-015,ORG-001,CAT-004,Vikram Solar Panel TOPCon Non-DCR 600-620Wp,VIKRAM-TOPCON-NONDCR,Vikram Non-DCR TOPCon panel,solar_panel,Vikram,Vikram Solar,TOPCON-610-NONDCR,pcs,12,30,active,"{""common"":{""wattage"":610,""cellType"":""TOPCon"",""efficiency"":22.3},""additional"":{""isDcr"":false,""minWattage"":600,""maxWattage"":620,""technology"":""topcon""}}"
PROD-016,ORG-001,CAT-004,Renewsys Solar Panel TOPCon Non-DCR 600-620Wp,RENEWSYS-TOPCON-NONDCR,Renewsys Non-DCR TOPCon panel,solar_panel,Renewsys,Renewsys India,TOPCON-610-NONDCR,pcs,12,30,active,"{""common"":{""wattage"":610,""cellType"":""TOPCon"",""efficiency"":22.1},""additional"":{""isDcr"":false,""minWattage"":600,""maxWattage"":620,""technology"":""topcon""}}"
PROD-017,ORG-001,CAT-006,Sungrow 1KW 1-Phase On-Grid Inverter,SUNGROW-1KW-1P,Sungrow 1KW single phase on-grid inverter,inverter,Sungrow,Sungrow Power,SG1K-S,pcs,8,NA,active,"{""common"":{""capacity"":1,""phases"":1,""voltage"":""230V""},""additional"":{""phaseType"":""single_phase"",""inverterType"":""on_grid"",""minSystemSize"":1,""maxSystemSize"":1}}"
PROD-018,ORG-001,CAT-006,Sungrow 2KW 1-Phase On-Grid Inverter,SUNGROW-2KW-1P,Sungrow 2KW single phase on-grid inverter,inverter,Sungrow,Sungrow Power,SG2K-S,pcs,8,NA,active,"{""common"":{""capacity"":2,""phases"":1,""voltage"":""230V""},""additional"":{""phaseType"":""single_phase"",""inverterType"":""on_grid"",""minSystemSize"":2,""maxSystemSize"":2}}"
PROD-019,ORG-001,CAT-006,Sungrow 3KW 1-Phase On-Grid Inverter,SUNGROW-3KW-1P,Sungrow 3KW single phase on-grid inverter,inverter,Sungrow,Sungrow Power,SG3K-S,pcs,8,NA,active,"{""common"":{""capacity"":3,""phases"":1,""voltage"":""230V""},""additional"":{""phaseType"":""single_phase"",""inverterType"":""on_grid"",""minSystemSize"":3,""maxSystemSize"":3}}"
PROD-020,ORG-001,CAT-006,Sungrow 4KW 1-Phase On-Grid Inverter,SUNGROW-4KW-1P,Sungrow 4KW single phase on-grid inverter,inverter,Sungrow,Sungrow Power,SG4K-S,pcs,8,NA,active,"{""common"":{""capacity"":4,""phases"":1,""voltage"":""230V""},""additional"":{""phaseType"":""single_phase"",""inverterType"":""on_grid"",""minSystemSize"":4,""maxSystemSize"":4}}"
PROD-021,ORG-001,CAT-006,Sungrow 5KW 1-Phase On-Grid Inverter,SUNGROW-5KW-1P,Sungrow 5KW single phase on-grid inverter,inverter,Sungrow,Sungrow Power,SG5K-S,pcs,8,NA,active,"{""common"":{""capacity"":5,""phases"":1,""voltage"":""230V""},""additional"":{""phaseType"":""single_phase"",""inverterType"":""on_grid"",""minSystemSize"":5,""maxSystemSize"":5}}"
PROD-022,ORG-001,CAT-006,Sungrow 6KW 1-Phase On-Grid Inverter,SUNGROW-6KW-1P,Sungrow 6KW single phase on-grid inverter,inverter,Sungrow,Sungrow Power,SG6K-S,pcs,8,NA,active,"{""common"":{""capacity"":6,""phases"":1,""voltage"":""230V""},""additional"":{""phaseType"":""single_phase"",""inverterType"":""on_grid"",""minSystemSize"":6,""maxSystemSize"":6}}"
PROD-023,ORG-001,CAT-007,Sungrow 8KW 3-Phase On-Grid Inverter,SUNGROW-8KW-3P,Sungrow 8KW three phase on-grid inverter,inverter,Sungrow,Sungrow Power,SG8KTL-M,pcs,5,NA,active,"{""common"":{""capacity"":8,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":7,""maxSystemSize"":8}}"
PROD-024,ORG-001,CAT-007,Sungrow 10KW 3-Phase On-Grid Inverter,SUNGROW-10KW-3P,Sungrow 10KW three phase on-grid inverter,inverter,Sungrow,Sungrow Power,SG10KTL-M,pcs,5,NA,active,"{""common"":{""capacity"":10,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":9,""maxSystemSize"":11}}"
PROD-025,ORG-001,CAT-007,Sungrow 12KW 3-Phase On-Grid Inverter,SUNGROW-12KW-3P,Sungrow 12KW three phase on-grid inverter,inverter,Sungrow,Sungrow Power,SG12KTL-M,pcs,5,NA,active,"{""common"":{""capacity"":12,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":12,""maxSystemSize"":13}}"
PROD-026,ORG-001,CAT-007,Sungrow 15KW 3-Phase On-Grid Inverter,SUNGROW-15KW-3P,Sungrow 15KW three phase on-grid inverter,inverter,Sungrow,Sungrow Power,SG15KTL-M,pcs,5,NA,active,"{""common"":{""capacity"":15,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":14,""maxSystemSize"":17}}"
PROD-027,ORG-001,CAT-007,Sungrow 20KW 3-Phase On-Grid Inverter,SUNGROW-20KW-3P,Sungrow 20KW three phase on-grid inverter,inverter,Sungrow,Sungrow Power,SG20KTL-M,pcs,5,NA,active,"{""common"":{""capacity"":20,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":18,""maxSystemSize"":25}}"
PROD-028,ORG-001,CAT-007,Sungrow 33KW 3-Phase On-Grid Inverter,SUNGROW-33KW-3P,Sungrow 33KW three phase on-grid inverter,inverter,Sungrow,Sungrow Power,SG33KTL-M,pcs,5,NA,active,"{""common"":{""capacity"":33,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":26,""maxSystemSize"":39}}"
PROD-029,ORG-001,CAT-007,Sungrow 50KW 3-Phase On-Grid Inverter,SUNGROW-50KW-3P,Sungrow 50KW three phase on-grid inverter,inverter,Sungrow,Sungrow Power,SG50KTL-M,pcs,5,NA,active,"{""common"":{""capacity"":50,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":40,""maxSystemSize"":60}}"
PROD-030,ORG-001,CAT-007,Sungrow 75KW 3-Phase On-Grid Inverter,SUNGROW-75KW-3P,Sungrow 75KW three phase on-grid inverter,inverter,Sungrow,Sungrow Power,SG75KTL-M,pcs,5,NA,active,"{""common"":{""capacity"":75,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":61,""maxSystemSize"":90}}"
PROD-031,ORG-001,CAT-007,Sungrow 100KW 3-Phase On-Grid Inverter,SUNGROW-100KW-3P,Sungrow 100KW three phase on-grid inverter,inverter,Sungrow,Sungrow Power,SG100KTL-M,pcs,5,NA,active,"{""common"":{""capacity"":100,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":91,""maxSystemSize"":100}}"
PROD-032,ORG-001,CAT-006,Goodwe 2KW 1-Phase On-Grid Inverter,GOODWE-2KW-1P,Goodwe 2KW single phase on-grid inverter,inverter,Goodwe,Goodwe Power,GW2K-NS,pcs,7,NA,active,"{""common"":{""capacity"":2,""phases"":1,""voltage"":""230V""},""additional"":{""phaseType"":""single_phase"",""inverterType"":""on_grid"",""minSystemSize"":2,""maxSystemSize"":2}}"
PROD-033,ORG-001,CAT-006,Goodwe 3KW 1-Phase On-Grid Inverter,GOODWE-3KW-1P,Goodwe 3KW single phase on-grid inverter,inverter,Goodwe,Goodwe Power,GW3K-NS,pcs,7,NA,active,"{""common"":{""capacity"":3,""phases"":1,""voltage"":""230V""},""additional"":{""phaseType"":""single_phase"",""inverterType"":""on_grid"",""minSystemSize"":3,""maxSystemSize"":3}}"
PROD-034,ORG-001,CAT-006,Goodwe 4KW 1-Phase On-Grid Inverter,GOODWE-4KW-1P,Goodwe 4KW single phase on-grid inverter,inverter,Goodwe,Goodwe Power,GW4K-NS,pcs,7,NA,active,"{""common"":{""capacity"":4,""phases"":1,""voltage"":""230V""},""additional"":{""phaseType"":""single_phase"",""inverterType"":""on_grid"",""minSystemSize"":4,""maxSystemSize"":4}}"
PROD-035,ORG-001,CAT-006,Goodwe 5KW 1-Phase On-Grid Inverter,GOODWE-5KW-1P,Goodwe 5KW single phase on-grid inverter,inverter,Goodwe,Goodwe Power,GW5K-NS,pcs,7,NA,active,"{""common"":{""capacity"":5,""phases"":1,""voltage"":""230V""},""additional"":{""phaseType"":""single_phase"",""inverterType"":""on_grid"",""minSystemSize"":5,""maxSystemSize"":5}}"
PROD-036,ORG-001,CAT-006,Goodwe 6KW 1-Phase On-Grid Inverter,GOODWE-6KW-1P,Goodwe 6KW single phase on-grid inverter,inverter,Goodwe,Goodwe Power,GW6K-NS,pcs,7,NA,active,"{""common"":{""capacity"":6,""phases"":1,""voltage"":""230V""},""additional"":{""phaseType"":""single_phase"",""inverterType"":""on_grid"",""minSystemSize"":6,""maxSystemSize"":6}}"
PROD-037,ORG-001,CAT-007,Goodwe 8KW 3-Phase On-Grid Inverter,GOODWE-8KW-3P,Goodwe 8KW three phase on-grid inverter,inverter,Goodwe,Goodwe Power,GW8K-DT,pcs,7,NA,active,"{""common"":{""capacity"":8,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":7,""maxSystemSize"":8}}"
PROD-038,ORG-001,CAT-007,Goodwe 10KW 3-Phase On-Grid Inverter,GOODWE-10KW-3P,Goodwe 10KW three phase on-grid inverter,inverter,Goodwe,Goodwe Power,GW10K-DT,pcs,5,NA,active,"{""common"":{""capacity"":10,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":9,""maxSystemSize"":11}}"
PROD-039,ORG-001,CAT-007,Goodwe 15KW 3-Phase On-Grid Inverter,GOODWE-15KW-3P,Goodwe 15KW three phase on-grid inverter,inverter,Goodwe,Goodwe Power,GW15K-DT,pcs,5,NA,active,"{""common"":{""capacity"":15,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":12,""maxSystemSize"":16}}"
PROD-040,ORG-001,CAT-007,Goodwe 20KW 3-Phase On-Grid Inverter,GOODWE-20KW-3P,Goodwe 20KW three phase on-grid inverter,inverter,Goodwe,Goodwe Power,GW20K-DT,pcs,5,NA,active,"{""common"":{""capacity"":20,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":17,""maxSystemSize"":22}}"
PROD-041,ORG-001,CAT-007,Goodwe 25KW 3-Phase On-Grid Inverter,GOODWE-25KW-3P,Goodwe 25KW three phase on-grid inverter,inverter,Goodwe,Goodwe Power,GW25K-DT,pcs,5,NA,active,"{""common"":{""capacity"":25,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":23,""maxSystemSize"":27}}"
PROD-042,ORG-001,CAT-007,Goodwe 36KW 3-Phase On-Grid Inverter,GOODWE-36KW-3P,Goodwe 36KW three phase on-grid inverter,inverter,Goodwe,Goodwe Power,GW36K-DT,pcs,5,NA,active,"{""common"":{""capacity"":36,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":28,""maxSystemSize"":38}}"
PROD-043,ORG-001,CAT-007,Goodwe 50KW 3-Phase On-Grid Inverter,GOODWE-50KW-3P,Goodwe 50KW three phase on-grid inverter,inverter,Goodwe,Goodwe Power,GW50K-MT,pcs,5,NA,active,"{""common"":{""capacity"":50,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":39,""maxSystemSize"":55}}"
PROD-044,ORG-001,CAT-007,Goodwe 80KW 3-Phase On-Grid Inverter,GOODWE-80KW-3P,Goodwe 80KW three phase on-grid inverter,inverter,Goodwe,Goodwe Power,GW80K-MT,pcs,5,NA,active,"{""common"":{""capacity"":80,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":56,""maxSystemSize"":90}}"
PROD-045,ORG-001,CAT-007,Goodwe 100KW 3-Phase On-Grid Inverter,GOODWE-100KW-3P,Goodwe 100KW three phase on-grid inverter,inverter,Goodwe,Goodwe Power,GW100K-MT,pcs,5,NA,active,"{""common"":{""capacity"":100,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":91,""maxSystemSize"":100}}"
PROD-046,ORG-001,CAT-006,SolarEdge 3KW 1-Phase On-Grid Inverter,SOLAREDGE-3KW-1P,SolarEdge 3KW single phase on-grid inverter,inverter,SolarEdge,SolarEdge Technologies,SE3K,pcs,8,NA,active,"{""common"":{""capacity"":3,""phases"":1,""voltage"":""230V""},""additional"":{""phaseType"":""single_phase"",""inverterType"":""on_grid"",""minSystemSize"":3,""maxSystemSize"":3}}"
PROD-047,ORG-001,CAT-006,SolarEdge 5KW 1-Phase On-Grid Inverter,SOLAREDGE-5KW-1P,SolarEdge 5KW single phase on-grid inverter,inverter,SolarEdge,SolarEdge Technologies,SE5K,pcs,8,NA,active,"{""common"":{""capacity"":5,""phases"":1,""voltage"":""230V""},""additional"":{""phaseType"":""single_phase"",""inverterType"":""on_grid"",""minSystemSize"":4,""maxSystemSize"":6}}"
PROD-048,ORG-001,CAT-007,SolarEdge 8KW 3-Phase On-Grid Inverter,SOLAREDGE-8KW-3P,SolarEdge 8KW three phase on-grid inverter,inverter,SolarEdge,SolarEdge Technologies,SE8K,pcs,8,NA,active,"{""common"":{""capacity"":8,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":7,""maxSystemSize"":8}}"
PROD-049,ORG-001,CAT-007,SolarEdge 10KW 3-Phase On-Grid Inverter,SOLAREDGE-10KW-3P,SolarEdge 10KW three phase on-grid inverter,inverter,SolarEdge,SolarEdge Technologies,SE10K,pcs,8,NA,active,"{""common"":{""capacity"":10,""phases"":3,""voltage"":""415V""},""additional"":{""phaseType"":""three_phase"",""inverterType"":""on_grid"",""minSystemSize"":9,""maxSystemSize"":17}}"
PROD-050,ORG-001,CAT-009,Aluminum Rail Mount Structure,STRUCT-RAIL-MOUNT,Standard aluminum rail mount rooftop structure,mounting_structure,Generic,OneOhm,ARM-STD,set,10,NA,active,"{""common"":{""weight"":15},""additional"":{""structureType"":""aluminum_rail_mount"",""costMultiplier"":1.00}}"
PROD-051,ORG-001,CAT-009,Metal Sheet Mount Structure,STRUCT-METAL-SHEET,Metal sheet mounting structure for rooftop,mounting_structure,Generic,OneOhm,MSM-STD,set,10,NA,active,"{""common"":{""weight"":20},""additional"":{""structureType"":""metal_sheet"",""costMultiplier"":1.00}}"
PROD-052,ORG-001,CAT-009,Elevated 6x9 Feet Structure,STRUCT-ELEVATED-6X9,Elevated structure 6x9 feet for rooftop,mounting_structure,Generic,OneOhm,ELV-6X9,set,10,NA,active,"{""common"":{""weight"":35},""additional"":{""structureType"":""elevated_6x9"",""costMultiplier"":1.30}}"
PROD-053,ORG-001,CAT-009,Super Elevated Structure,STRUCT-SUPER-ELEVATED,Super elevated structure for high clearance,mounting_structure,Generic,OneOhm,SELV-STD,set,10,NA,active,"{""common"":{""weight"":50},""additional"":{""structureType"":""super_elevated"",""costMultiplier"":1.50}}"
PROD-054,ORG-001,CAT-010,Ground Mount Structure,STRUCT-GROUND-MOUNT,Ground mounted structure for open land,mounting_structure,Generic,OneOhm,GMS-STD,set,10,NA,active,"{""common"":{""weight"":40},""additional"":{""structureType"":""ground_mount"",""costMultiplier"":1.25}}"
